Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     32.82     0.00        1     0.00     0.00  Random::sgenrand(unsigned long)
  0.00     32.82     0.00        1     0.00     0.00  Random::Random()
  0.00     32.82     0.00        1     0.00     0.00  SampleSAT::setWalkMax(int)
  0.00     32.82     0.00        1     0.00     0.00  SampleSAT::setNumSample(int)
  0.00     32.82     0.00        1     0.00     0.00  SampleSAT::setTemperature(double)
  0.00     32.82     0.00        1     0.00     0.00  SampleSAT::setWalkSatProb(double)
  0.00     32.82     0.00        1     0.00     0.00  SampleSAT::setRandomWalkProb(double)
  0.00     32.82     0.00        1     0.00     0.00  SampleSAT::calcAve(learnparams*)
  0.00     32.82     0.00        1     0.00     0.00  SampleSAT::SampleSAT(SatProblem*, samplesatparams*, bool, learnparams*)
  0.00     32.82     0.00        1     0.00     0.00  SampleSAT::~SampleSAT()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.03% of 32.82 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00   32.80                 main [1]
                0.01   32.76       1/1           SliceSampling::learn(int*, char*, int) [2]
                0.00    0.01       1/1           SatProblem::parseCnfFile(char*) [39]
                0.01    0.00       1/1           SatProblem::parseSliFile(char*) [50]
                0.01    0.00      74/76          SatProblem::getNumVariables() [47]
                0.00    0.00       1/1           SampleSAT::SampleSAT(SatProblem*, samplesatparams*, bool, learnparams*) [61]
                0.00    0.00       1/1           SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*) [60]
                0.00    0.00       1/1           SatProblem::~SatProblem() [78]
                0.00    0.00       4/32150       Timer::time() [46]
                0.00    0.00       2/9           Timer::printTime(std::ostream&, double const&) [136]
                0.00    0.00       1/4           Timer::Timer() [145]
                0.00    0.00       1/1           SatProblem::SatProblem(unsigned long, bool) [177]
                0.00    0.00       1/1           SatProblem::parseProbFile(char*) [176]
                0.00    0.00       1/1           printssParameters(samplesatparams*) [170]
                0.00    0.00       1/1           printlParameters(learnparams*) [169]
                0.00    0.00       1/1           SliceSampling::printUnitTime() [178]
                0.00    0.00       1/1           SliceSampling::calcFixed(learnparams*) [180]
                0.00    0.00       1/1           SampleSAT::calcAve(learnparams*) [189]
                0.00    0.00       1/1           SliceSampling::~SliceSampling() [181]
                0.00    0.00       1/1           SampleSAT::~SampleSAT() [190]
                0.00    0.00       1/4           Timer::~Timer() [146]
-----------------------------------------------
                0.01   32.76       1/1           main [1]
[2]     99.9    0.01   32.76       1         SliceSampling::learn(int*, char*, int) [2]
                0.36   27.53       1/1           SliceSampling::cdlearn(int) [3]
                0.01    4.85       1/1           SliceSampling::readdata(char*, int) [6]
                0.01    0.00       1/1           SliceSampling::lallocate(int) [51]
                0.00    0.00       2/32150       Timer::time() [46]
                0.00    0.00      72/21847752     SatProblem::getTheta(int) [25]
                0.00    0.00       1/9           Timer::printTime(std::ostream&, double const&) [136]
-----------------------------------------------
                0.36   27.53       1/1           SliceSampling::learn(int*, char*, int) [2]
[3]     85.0    0.36   27.53       1         SliceSampling::cdlearn(int) [3]
                0.00   24.10      10/10          SliceSampling::calclik(int, double*, int*) [5]
                0.00    3.37    1000/1000        SliceSampling::sampleX() [8]
                0.06    0.00 21703680/21847752     SatProblem::getTheta(int) [25]
                0.00    0.01    1000/1000        SliceSampling::sampleU() [54]
                0.00    0.00    1000/491789      SatProblem::getGrand() [28]
                0.00    0.00      40/32150       Timer::time() [46]
                0.00    0.00   99440/99440       double const& std::max<double>(double const&, double const&) [98]
                0.00    0.00      10/10          SatProblem::updateTheta(double*) [135]
                0.00    0.00       2/9           Timer::printTime(std::ostream&, double const&) [136]
-----------------------------------------------
               24.10    0.00  100000/100000      SliceSampling::calclik(int, double*, int*) [5]
[4]     73.4   24.10    0.00  100000         SliceSampling::getIdx(int) [4]
-----------------------------------------------
                0.00   24.10      10/10          SliceSampling::cdlearn(int) [3]
[5]     73.4    0.00   24.10      10         SliceSampling::calclik(int, double*, int*) [5]
               24.10    0.00  100000/100000      SliceSampling::getIdx(int) [4]
-----------------------------------------------
                0.01    4.85       1/1           SliceSampling::learn(int*, char*, int) [2]
[6]     14.8    0.01    4.85       1         SliceSampling::readdata(char*, int) [6]
                4.85    0.00   20000/20000       SliceSampling::modelcheck(int) [7]
-----------------------------------------------
                4.85    0.00   20000/20000       SliceSampling::readdata(char*, int) [6]
[7]     14.8    4.85    0.00   20000         SliceSampling::modelcheck(int) [7]
-----------------------------------------------
                0.00    3.37    1000/1000        SliceSampling::cdlearn(int) [3]
[8]     10.3    0.00    3.37    1000         SliceSampling::sampleX() [8]
                0.00    3.24    1000/1000        SampleSAT::solve(SatProblem*, int*) [9]
                0.01    0.10    1000/1000        SatProblem::initParams() [22]
                0.00    0.01   14052/14052       SliceSampling::unitProc(int, int) [53]
                0.01    0.00    1000/1000        SatProblem::getNumFixedAtom() [58]
                0.00    0.00    4000/32150       Timer::time() [46]
                0.00    0.00   72000/21847752     SatProblem::getTheta(int) [25]
                0.00    0.00    1000/1000        SatProblem::getNumFixedClause() [116]
-----------------------------------------------
                0.00    3.24    1000/1000        SliceSampling::sampleX() [8]
[9]      9.9    0.00    3.24    1000         SampleSAT::solve(SatProblem*, int*) [9]
                0.00    3.22  141194/141194      SampleSAT::walk() [10]
