Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     67.13     0.00        4     0.00     0.00  void std::__uninitialized_fill_n_a<std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> >, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> > const&, std::allocator<std::list<int, std::allocator<int> > >&)
  0.00     67.13     0.00        4     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00     67.13     0.00        2     0.00     0.00  Timer::Timer()
  0.00     67.13     0.00        2     0.00     0.00  Timer::~Timer()
  0.00     67.13     0.00        1     0.00     0.00  global constructors keyed to SatProblem::SatProblem(unsigned long)
  0.00     67.13     0.00        1     0.00     0.00  global constructors keyed to SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*)
  0.00     67.13     0.00        1     0.00     0.00  global constructors keyed to SampleSAT::SampleSAT(SatProblem*, samplesatparams*)
  0.00     67.13     0.00        1     0.00     0.00  global constructors keyed to cnffilename
  0.00     67.13     0.00        1     0.00     0.00  printlParameters(learnparams*)
  0.00     67.13     0.00        1     0.00     0.00  printssParameters(samplesatparams*)
  0.00     67.13     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     67.13     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     67.13     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     67.13     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     67.13     0.00        1     0.00     0.01  SatProblem::parseCnfFile(char*)
  0.00     67.13     0.00        1     0.00     0.00  SatProblem::getNumClauses()
  0.00     67.13     0.00        1     0.00     0.00  SatProblem::parseProbFile(char*)
  0.00     67.13     0.00        1     0.00     0.01  SatProblem::allocate()
  0.00     67.13     0.00        1     0.00     0.60  SatProblem::SatProblem(unsigned long)
  0.00     67.13     0.00        1     0.00     0.00  SatProblem::~SatProblem()
  0.00     67.13     0.00        1     0.00     0.00  SliceSampling::init()
  0.00     67.13     0.00        1     0.00    65.87  SliceSampling::learn(int*, char*, int)
  0.00     67.13     0.00        1     0.00     0.00  SliceSampling::lallocate(int)
  0.00     67.13     0.00        1     0.00     0.00  SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*)
  0.00     67.13     0.00        1     0.00     0.00  SliceSampling::~SliceSampling()
  0.00     67.13     0.00        1     0.00     0.00  Random::sgenrand(unsigned long)
  0.00     67.13     0.00        1     0.00     0.00  Random::Random()
  0.00     67.13     0.00        1     0.00     0.00  SampleSAT::setWalkMax(int)
  0.00     67.13     0.00        1     0.00     0.00  SampleSAT::setNumSample(int)
  0.00     67.13     0.00        1     0.00     0.00  SampleSAT::setTemperature(double)
  0.00     67.13     0.00        1     0.00     0.00  SampleSAT::setWalkSatProb(double)
  0.00     67.13     0.00        1     0.00     0.00  SampleSAT::setRandomWalkProb(double)
  0.00     67.13     0.00        1     0.00     0.00  SampleSAT::SampleSAT(SatProblem*, samplesatparams*)
  0.00     67.13     0.00        1     0.00     0.00  SampleSAT::~SampleSAT()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.01% of 67.13 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.4    0.00   66.74                 main [1]
                0.00   65.87       1/1           SliceSampling::learn(int*, char*, int) [2]
                0.00    0.60       1/1           SatProblem::SatProblem(unsigned long) [19]
                0.24    0.00     731/733         SatProblem::getNumVariables() [33]
                0.00    0.01       1/1           SatProblem::parseCnfFile(char*) [53]
                0.01    0.00       1/1           SatProblem::parseSliFile(char*) [59]
                0.00    0.00       1/1           SatProblem::~SatProblem() [71]
                0.00    0.00       1/1           SampleSAT::SampleSAT(SatProblem*, samplesatparams*) [80]
                0.00    0.00       1/1           SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*) [79]
                0.00    0.00       4/7612        Timer::time() [104]
                0.00    0.00       2/5           Timer::printTime(std::ostream&, double const&) [141]
                0.00    0.00       1/2           Timer::Timer() [160]
                0.00    0.00       1/1           SatProblem::parseProbFile(char*) [173]
                0.00    0.00       1/1           printssParameters(samplesatparams*) [167]
                0.00    0.00       1/1           printlParameters(learnparams*) [166]
                0.00    0.00       1/1           SliceSampling::~SliceSampling() [176]
                0.00    0.00       1/1           SampleSAT::~SampleSAT() [184]
                0.00    0.00       1/2           Timer::~Timer() [161]
-----------------------------------------------
                0.00   65.87       1/1           main [1]
[2]     98.1    0.00   65.87       1         SliceSampling::learn(int*, char*, int) [2]
                0.24   65.61       1/1           SliceSampling::cdlearn(int) [3]
                0.02    0.00       1/1           SliceSampling::readdata(char*) [51]
                0.00    0.00     729/14886909     SatProblem::getTheta(int) [45]
                0.00    0.00       2/7612        Timer::time() [104]
                0.00    0.00       1/1           SliceSampling::lallocate(int) [175]
                0.00    0.00       1/5           Timer::printTime(std::ostream&, double const&) [141]
-----------------------------------------------
                0.24   65.61       1/1           SliceSampling::learn(int*, char*, int) [2]
[3]     98.1    0.24   65.61       1         SliceSampling::cdlearn(int) [3]
                0.00   65.47     100/100         SliceSampling::sampleX() [4]
                0.10    0.00      10/10          SliceSampling::calclik2(int, double*) [40]
                0.03    0.00 14740380/14886909     SatProblem::getTheta(int) [45]
                0.01    0.00     100/100         SliceSampling::sampleU() [52]
                0.00    0.00     100/252519      SatProblem::getGrand() [57]
                0.00    0.00      40/7612        Timer::time() [104]
                0.00    0.00      10/10          SatProblem::updateTheta(double*) [132]
                0.00    0.00       2/5           Timer::printTime(std::ostream&, double const&) [141]
-----------------------------------------------
                0.00   65.47     100/100         SliceSampling::cdlearn(int) [3]
[4]     97.5    0.00   65.47     100         SliceSampling::sampleX() [4]
                0.00   64.51     100/100         SampleSAT::solve(SatProblem*, int*) [5]
                0.00    0.57    3583/3583        SliceSampling::unitProc(int, int) [20]
                0.12    0.27     100/100         SatProblem::initParams() [23]
                0.00    0.00   72900/14886909     SatProblem::getTheta(int) [45]
                0.00    0.00     400/7612        Timer::time() [104]
                0.00    0.00     100/100         SatProblem::getNumFixedAtom() [126]
                0.00    0.00     100/100         SatProblem::getNumFixedClause() [127]
-----------------------------------------------
                0.00   64.51     100/100         SliceSampling::sampleX() [4]
[5]     96.1    0.00   64.51     100         SampleSAT::solve(SatProblem*, int*) [5]
                0.00   64.44   45311/45311       SampleSAT::walk() [6]
                0.00    0.05     100/100         SatProblem::initSatCheck(int*) [42]
                0.02    0.00     100/100         SatProblem::cpClVector() [50]
                0.00    0.00     100/100         SampleSAT::init_model() [77]
-----------------------------------------------
                0.00   64.44   45311/45311       SampleSAT::solve(SatProblem*, int*) [5]
[6]     96.0    0.00   64.44   45311         SampleSAT::walk() [6]
                0.37   60.80   11335/11335       SampleSAT::greedyWalk() [7]
                1.63    1.30   11303/11303       SampleSAT::randomWalk() [12]
                0.00    0.34   22673/22673       SampleSAT::simAnnealing() [25]
                0.00    0.00   67949/252519      SatProblem::getGrand() [57]
                0.00    0.00   88833/176353      SatProblem::getNumSat() [96]
-----------------------------------------------
                0.37   60.80   11335/11335       SampleSAT::walk() [6]
[7]     91.1    0.37   60.80   11335         SampleSAT::greedyWalk() [7]
               18.18   42.51 7859443/7882116     SatProblem::getNsc2(int*, int) [8]
                0.02    0.07   11335/43522       SatProblem::afterFlip(int*, int) [26]
                0.03    0.00 8263215/8396019     SatProblem::getVar(int) [46]
                0.00    0.00   53544/176353      SatProblem::getNumSat() [96]
                0.00    0.00   11335/43522       SatProblem::addNumSat(int) [102]
-----------------------------------------------
                0.05    0.12   22673/7882116     SampleSAT::simAnnealing() [25]
               18.18   42.51 7859443/7882116     SampleSAT::greedyWalk() [7]
[8]     90.7   18.23   42.63 7882116         SatProblem::getNsc2(int*, int) [8]
               21.21    0.00 724095742/733076332     SatProblem::isSatCnj(int*, int) [9]
                8.48    0.00 1448191484/1457452440     std::_List_iterator<int>::operator++(int) [10]
                4.18    2.48 1479719948/1492564307     std::list<int, std::allocator<int> >::end() [11]
                1.87    0.00 1448191484/1463121113     std::_List_iterator<int>::operator*() const [14]
                1.86    0.00 1479719948/1489116743     std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const [15]
