Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  SliceSampling::lallocate(int)
  0.00      0.00     0.00        1     0.00     0.00  SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*)
  0.00      0.00     0.00        1     0.00     0.00  SliceSampling::~SliceSampling()
  0.00      0.00     0.00        1     0.00     0.00  Random::sgenrand(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  Random::Random()
  0.00      0.00     0.00        1     0.00     0.00  SampleSAT::setWalkMax(int)
  0.00      0.00     0.00        1     0.00     0.00  SampleSAT::setNumSample(int)
  0.00      0.00     0.00        1     0.00     0.00  SampleSAT::setTemperature(double)
  0.00      0.00     0.00        1     0.00     0.00  SampleSAT::setWalkSatProb(double)
  0.00      0.00     0.00        1     0.00     0.00  SampleSAT::setRandomWalkProb(double)
  0.00      0.00     0.00        1     0.00     0.00  SampleSAT::SampleSAT(SatProblem*, samplesatparams*)
  0.00      0.00     0.00        1     0.00     0.00  SampleSAT::~SampleSAT()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00      18/122538      SliceSampling::learn(int*, char*, int) [169]
                0.00    0.00     600/122538      SliceSampling::sampleU() [74]
                0.00    0.00     600/122538      SliceSampling::sampleX() [75]
                0.00    0.00  121320/122538      SliceSampling::cdlearn(int) [170]
[5]      0.0    0.00    0.00  122538         SatProblem::getTheta(int) [5]
-----------------------------------------------
                0.00    0.00      36/22101       SatProblem::parseCnfFile(char*) [161]
                0.00    0.00     653/22101       SatProblem::setClause(int, int) [54]
                0.00    0.00    1600/22101       SatProblem::getNsc1(int*, int) [79]
                0.00    0.00    3180/22101       SatProblem::afterFlip(int*, int) [47]
                0.00    0.00    5192/22101       SatProblem::initParams() [70]
                0.00    0.00   11440/22101       SatProblem::getNsc2(int*, int) [43]
[6]      0.0    0.00    0.00   22101         std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int) [6]
-----------------------------------------------
                0.00    0.00    3358/20109       std::list<int, std::allocator<int> >::begin() [19]
                0.00    0.00   16751/20109       std::list<int, std::allocator<int> >::end() [8]
[7]      0.0    0.00    0.00   20109         std::_List_iterator<int>::_List_iterator(std::_List_node_base*) [7]
-----------------------------------------------
                0.00    0.00     539/16751       SatProblem::setClause(int, int) [54]
                0.00    0.00    1280/16751       SatProblem::getNsc1(int*, int) [79]
                0.00    0.00    2544/16751       SatProblem::afterFlip(int*, int) [47]
                0.00    0.00    3236/16751       std::list<int, std::allocator<int> >::push_back(int const&) [30]
                0.00    0.00    9152/16751       SatProblem::getNsc2(int*, int) [43]
[8]      0.0    0.00    0.00   16751         std::list<int, std::allocator<int> >::end() [8]
                0.00    0.00   16751/20109       std::_List_iterator<int>::_List_iterator(std::_List_node_base*) [7]
-----------------------------------------------
                0.00    0.00     539/13515       SatProblem::setClause(int, int) [54]
                0.00    0.00    1280/13515       SatProblem::getNsc1(int*, int) [79]
                0.00    0.00    2544/13515       SatProblem::afterFlip(int*, int) [47]
                0.00    0.00    9152/13515       SatProblem::getNsc2(int*, int) [43]
[9]      0.0    0.00    0.00   13515         std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const [9]
-----------------------------------------------
                0.00    0.00     425/12065       SatProblem::setClause(int, int) [54]
                0.00    0.00     960/12065       SatProblem::getNsc1(int*, int) [79]
                0.00    0.00    3816/12065       SatProblem::afterFlip(int*, int) [47]
                0.00    0.00    6864/12065       SatProblem::getNsc2(int*, int) [43]
[10]     0.0    0.00    0.00   12065         std::_List_iterator<int>::operator*() const [10]
-----------------------------------------------
                0.00    0.00     425/10157       SatProblem::setClause(int, int) [54]
                0.00    0.00     960/10157       SatProblem::getNsc1(int*, int) [79]
                0.00    0.00    1908/10157       SatProblem::afterFlip(int*, int) [47]
                0.00    0.00    6864/10157       SatProblem::getNsc2(int*, int) [43]
[11]     0.0    0.00    0.00   10157         std::_List_iterator<int>::operator++(int) [11]
-----------------------------------------------
                0.00    0.00     480/7023        SatProblem::getNsc1(int*, int) [79]
                0.00    0.00    1203/7023        SatProblem::initSatCheck(int*) [71]
                0.00    0.00    1908/7023        SatProblem::afterFlip(int*, int) [47]
                0.00    0.00    3432/7023        SatProblem::getNsc2(int*, int) [43]
[12]     0.0    0.00    0.00    7023         SatProblem::isSatCnj(int*, int) [12]
-----------------------------------------------
                0.00    0.00     114/6610        std::allocator<int>::allocator() [56]
                0.00    0.00    6496/6610        std::allocator<int>::allocator<std::_List_node<int> >(std::allocator<std::_List_node<int> > const&) [16]
[13]     0.0    0.00    0.00    6610         __gnu_cxx::new_allocator<int>::new_allocator() [13]
-----------------------------------------------
                0.00    0.00     114/6610        std::allocator<int>::~allocator() [57]
                0.00    0.00    6496/6610        std::allocator<int>::~allocator() [17]
[14]     0.0    0.00    0.00    6610         __gnu_cxx::new_allocator<int>::~new_allocator() [14]
-----------------------------------------------
                0.00    0.00      24/6496        std::list<int, std::allocator<int> >::list(std::list<int, std::allocator<int> > const&) [99]
                0.00    0.00    6472/6496        std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const [18]
[15]     0.0    0.00    0.00    6496         std::_List_base<int, std::allocator<int> >::_M_get_Node_allocator() const [15]
-----------------------------------------------
                0.00    0.00      24/6496        std::list<int, std::allocator<int> >::list(std::list<int, std::allocator<int> > const&) [99]
                0.00    0.00    6472/6496        std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const [18]
[16]     0.0    0.00    0.00    6496         std::allocator<int>::allocator<std::_List_node<int> >(std::allocator<std::_List_node<int> > const&) [16]
                0.00    0.00    6496/6610        __gnu_cxx::new_allocator<int>::new_allocator() [13]
-----------------------------------------------
                0.00    0.00      24/6496        std::list<int, std::allocator<int> >::list(std::list<int, std::allocator<int> > const&) [99]
                0.00    0.00    3236/6496        std::_List_base<int, std::allocator<int> >::_M_clear() [40]
                0.00    0.00    3236/6496        std::list<int, std::allocator<int> >::_M_create_node(int const&) [28]
