Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[2]    100.0    0.00  633.79       1         SliceSampling::learn(int*, char*, int, bool, char*) [2]
                0.18  627.82       1/1           SliceSampling::readdata(char*, int) [3]
                0.00    5.76       1/1           SliceSampling::malearn(int, bool, char*) [5]
                0.03    0.00       1/1           SliceSampling::lallocate(int) [25]
                0.00    0.00       1/74          Timer::time() [90]
-----------------------------------------------
                0.18  627.82       1/1           SliceSampling::learn(int*, char*, int, bool, char*) [2]
[3]     99.1    0.18  627.82       1         SliceSampling::readdata(char*, int) [3]
              627.82    0.00  200000/200000      SliceSampling::modelcheck(int) [4]
-----------------------------------------------
              627.82    0.00  200000/200000      SliceSampling::readdata(char*, int) [3]
[4]     99.0  627.82    0.00  200000         SliceSampling::modelcheck(int) [4]
-----------------------------------------------
                0.00    5.76       1/1           SliceSampling::learn(int*, char*, int, bool, char*) [2]
[5]      0.9    0.00    5.76       1         SliceSampling::malearn(int, bool, char*) [5]
                0.00    5.76       1/1           SliceSampling::sampleX() [6]
                0.00    0.00       1/1           SliceSampling::sampleU() [51]
                0.00    0.00       1/520474      SatProblem::getGrand() [40]
                0.00    0.00       1/74          Timer::time() [90]
-----------------------------------------------
                0.00    5.76       1/1           SliceSampling::malearn(int, bool, char*) [5]
[6]      0.9    0.00    5.76       1         SliceSampling::sampleX() [6]
                0.00    5.75       1/1           SampleSAT::solve(SatProblem*, int*) [7]
                0.01    0.00       1/1           SatProblem::getNumFixedClause() [43]
                0.00    0.00       1/1           SatProblem::initParams() [48]
                0.00    0.00      33/33          SliceSampling::unitProc(int, int) [50]
                0.00    0.00     137/274         SatProblem::getTheta(int) [87]
                0.00    0.00       3/74          Timer::time() [90]
                0.00    0.00       1/1           SatProblem::getNumFixedAtom() [155]
-----------------------------------------------
                0.00    5.75       1/1           SliceSampling::sampleX() [6]
[7]      0.9    0.00    5.75       1         SampleSAT::solve(SatProblem*, int*) [7]
                0.01    5.74  200000/200000      SampleSAT::walk() [8]
                0.00    0.00       1/1           SatProblem::initSatCheck(int*) [46]
                0.00    0.00       1/1           SampleSAT::init_model() [52]
                0.00    0.00       1/1           SatProblem::cpClVector() [152]
-----------------------------------------------
                0.01    5.74  200000/200000      SampleSAT::solve(SatProblem*, int*) [7]
[8]      0.9    0.01    5.74  200000         SampleSAT::walk() [8]
                0.15    5.14   50018/50018       SampleSAT::greedyWalk() [9]
                0.07    0.20   50010/50010       SampleSAT::randomWalk() [14]
                0.01    0.17   99972/99972       SampleSAT::simAnnealing() [15]
                0.00    0.01  300028/520474      SatProblem::getGrand() [40]
                0.01    0.00  391564/739963      SatProblem::getNumSat() [39]
-----------------------------------------------
                0.15    5.14   50018/50018       SampleSAT::walk() [8]
[9]      0.8    0.15    5.14   50018         SampleSAT::greedyWalk() [9]
                2.10    3.00 5201872/5301844     SatProblem::getNsc2(int*, int) [10]
                0.01    0.03   50018/191564      SatProblem::afterFlip(int*, int) [18]
                0.00    0.00  198417/739963      SatProblem::getNumSat() [39]
                0.00    0.00 6852466/7106652     SatProblem::getVar(int) [56]
                0.00    0.00   50018/191564      SatProblem::addNumSat(int) [60]
-----------------------------------------------
                0.04    0.06   99972/5301844     SampleSAT::simAnnealing() [15]
                2.10    3.00 5201872/5301844     SampleSAT::greedyWalk() [9]
[10]     0.8    2.14    3.06 5301844         SatProblem::getNsc2(int*, int) [10]
                1.42    0.00 84111961/89228031     SatProblem::isSatCnj(int*, int) [11]
                0.94    0.00 168223922/174659111     std::_List_iterator<int>::operator++(int) [12]
                0.21    0.06 189431298/196453498     std::list<int, std::allocator<int> >::end() [13]
